lat	lon	hit
		1.0
43.7371	-79.20763	1.0
42.36076	-88.02741	1.0
36.28275	-86.54114	1.0
		0.0
50.26095	-117.78301	0.0
		0.0
		0.0
		0.0
		0.0
		1.0
		0.0
		0.0
		1.0
		1.0
		0.0
40.79016	-73.95542	1.0
6.95642	-70.78491	0.0
		1.0
		0.0
-20.49054	-48.82101	1.0
		0.0
		0.0
		0.0
		0.0
		1.0
40.77695	-73.9022	1.0
40.66494	-73.96513	1.0
		0.0
		0.0
		0.0
		1.0
		1.0
		1.0
		1.0
		0.0
		0.0
		1.0
		0.0
		1.0
		0.0
		0.0
		1.0
		0.0
38.46286	-121.97378	1.0
21.54988	-105.26507	0.0
		0.0
		0.0
		0.0
		1.0
39.01041	-87.20301	0.0
25.6495	-103.47679	0.0
		1.0
26.47278	-81.17865	1.0
		1.0
5.11279	-52.62434	1.0
		1.0
12.64498	-87.14915	0.0
26.12704	-97.95496	1.0
		0.0
		0.0
		0.0
34.29484	-119.34049	1.0
		1.0
		1.0
		1.0
		1.0
42.82866	-74.52335	0.0
		1.0
		0.0
		1.0
27.64065	-17.98127	0.0
		0.0
		0.0
6.8167	-58.15	0.0
		1.0
		0.0
		0.0
		0.0
		0.0
47.13954	-122.09539	1.0
		1.0
		0.0
		1.0
48.59397	-123.37469	1.0
		0.0
		0.0
36.42411	-87.59691	1.0
26.45449	-82.11611	1.0
		1.0
47.3223	-122.68656	1.0
		0.0
		0.0
37.7028	-123.00426	0.0
		0.0
		1.0
		1.0
65.37653	-22.91611	1.0
53.29754	-6.14307	0.0
		0.0
47.60276	-122.33791	1.0
		1.0
		0.0
57.68755	11.95132	1.0
54.97682	-3.48215	1.0
		1.0
49.10096	-123.17459	1.0
		1.0
		1.0
		0.0
		0.0
		0.0
		1.0
		1.0
		0.0
		0.0
49.25929	-122.60103	1.0
-12.21923	-76.99219	0.0
		1.0
41.62176	-83.18277	1.0
		1.0
32.64975	-96.63729	0.0
		0.0
		1.0
26.13946	-97.17455	1.0
		0.0
		1.0
		1.0
		1.0
		1.0
		1.0
66.10039	24.71048	0.0
38.93659	-74.94172	0.0
37.89355	-75.34844	1.0
46.83589	-71.21171	1.0
		0.0
56.30199	-3.16105	1.0
52.78234	-2.3279	0.0
41.28041	2.0637	1.0
41.28041	2.0637	1.0
		1.0
		0.0
		1.0
26.13802	-97.17785	1.0
43.29965	-79.79419	1.0
40.74442	-73.84937	1.0
		1.0
49.25893	-122.60055	1.0
		1.0
33.47659	-112.08914	1.0
		1.0
		1.0
		1.0
		1.0
38.70743	-75.08091	1.0
42.38492	-71.14263	0.0
		1.0
		1.0
		1.0
32.27924	-111.02298	1.0
		1.0
44.18417	-81.63666	1.0
50.84665	-0.54545	1.0
		1.0
49.6057	-117.13074	1.0
		1.0
32.8867	-98.49069	1.0
		0.0
49.27755	-123.14635	1.0
		0.0
		1.0
		1.0
		1.0
		1.0
38.71019	-76.52862	1.0
		1.0
		1.0
		1.0
		1.0
36.81624	-75.98863	1.0
51.47723	-0.23549	1.0
		0.0
43.28564	145.58164	1.0
57.291	17.96634	0.0
		0.0
		1.0
48.33514	16.05377	1.0
		1.0
43.29965	-79.79419	1.0
		0.0
		1.0
		1.0
		0.0
		1.0
		1.0
47.38786	-122.26025	1.0
		1.0
		1.0
43.22702	-86.34127	1.0
		1.0
		0.0
		0.0
32.73632	-117.15292	1.0
		1.0
		1.0
		0.0
57.29013	17.96505	1.0
56.90644	12.55212	0.0
51.22962	6.78543	0.0
		1.0
		1.0
57.6836	11.94544	1.0
		1.0
57.684	11.94698	1.0
42.33905	-87.98574	1.0
42.21832	-87.93131	1.0
51.53032	-0.15609	0.0
57.63482	11.90762	0.0
49.06466	-122.8498	1.0
		0.0
50.41377	-107.06863	1.0
		0.0
		0.0
33.84308	-106.88122	0.0
		1.0
		1.0
43.34236	-80.1799	1.0
		1.0
		0.0
		0.0
		0.0
		0.0
		1.0
45.95275	-1.26366	1.0
45.95275	-1.26366	1.0
52.25718	-0.71428	1.0
		1.0
		0.0
48.80504	9.20836	0.0
-19.8455	-43.98802	0.0
		0.0
-15.22026	35.57682	1.0
26.42727	-82.08444	1.0
28.38003	-81.53164	1.0
		1.0
17.44859	78.33249	0.0
		0.0
		0.0
		0.0
		1.0
27.98683	-81.87051	1.0
		1.0
22.45038	114.17953	1.0
30.27254	-89.69101	1.0
		1.0
		0.0
38.44223	-76.12993	1.0
		1.0
35.84789	-75.86746	1.0
		1.0
		1.0
		1.0
38.43833	-121.42349	1.0
25.38371	-80.61005	1.0
		0.0
28.4708	76.87889	0.0
7.47737	80.36276	1.0
		1.0
33.28436	-88.78365	0.0
		1.0
		1.0
-12.22729	-76.99219	1.0
26.45445	-82.11628	1.0
28.92918	-95.30906	1.0
		0.0
		1.0
		1.0
29.65404	-94.57821	1.0
		1.0
-31.41885	-64.50125	1.0
		0.0
		1.0
25.67835	-80.76668	1.0
		1.0
		0.0
		1.0
50.22942	-117.75593	1.0
		1.0
46.05612	13.22715	1.0
		1.0
63.93835	-20.99607	1.0
		0.0
		1.0
50.23205	-117.80262	0.0
		1.0
60.70511	-135.11261	1.0
		0.0
		0.0
		0.0
		0.0
		1.0
		1.0
70.20197	-148.46666	1.0
		0.0
		0.0
		0.0
		0.0
		0.0
49.26475	-122.77707	1.0
		0.0
		1.0
		1.0
38.89281	-77.01144	1.0
		1.0
35.84081	-78.71107	1.0
		1.0
32.76245	-105.95112	1.0
		0.0
29.89052	-95.78812	0.0
		0.0
		0.0
45.61842	-120.90332	1.0
31.91841	-109.12754	1.0
41.88277	-69.99555	0.0
33.46247	-117.70917	0.0
46.98798	-103.4858	1.0
31.9252	-110.05873	1.0
		1.0
		1.0
		0.0
13.86175	-89.67281	1.0
29.56185	-94.39033	1.0
		1.0
