lat	lon	hit
49.13921	-122.80028	0.0
31.9949	-85.09237	0.0
45.3262	-118.0905	1.0
43.91596	-89.07927	0.0
25.71031	-80.76676	1.0
40.2721	-76.9133	0.0
43.70634	-84.57786	1.0
32.32642	-110.70037	0.0
35.70383	-87.74156	1.0
34.17735	-118.09688	1.0
41.29154	-96.09346	1.0
42.97556	-85.83101	1.0
44.9371	-123.32565	1.0
30.39083	-81.43222	0.0
29.60938	-98.24268	1.0
49.34037	-123.26826	1.0
45.09388	-74.24518	0.0
35.25017	-91.58273	1.0
47.07809	-70.78555	1.0
44.86901	-71.31063	1.0
32.8388	-83.6077	0.0
48.47104	-123.29933	0.0
34.85246	-87.43478	1.0
42.93025	-88.49231	1.0
36.14004	-81.74611	1.0
35.81021	-84.1186	0.0
44.25902	-88.39292	0.0
45.47266	-123.97062	1.0
42.70146	-83.93668	1.0
49.01571	-123.11706	1.0
43.66849	-79.57638	1.0
44.90629	-81.35905	1.0
36.39455	-82.94354	0.0
43.73449	-85.91006	0.0
43.7965	-66.0689	1.0
32.2806	-110.7303	0.0
44.75816	-121.2269	0.0
44.33645	-74.15246	1.0
41.17772	-104.82056	1.0
41.65159	-70.41445	0.0
42.69778	-84.37899	0.0
50.72926	-114.41727	1.0
28.66288	-80.72342	1.0
37.662	-122.37572	1.0
41.72964	-88.11041	0.0
10.4288	-84.0128	1.0
35.8313	-85.10786	1.0
40.79609	-73.95589	1.0
39.71249	-84.8735	1.0
20.82079	-105.24954	1.0
50.11854	-106.96044	1.0
36.46579	-94.32244	1.0
40.45008	-74.45378	1.0
61.20597	-149.92115	1.0
39.55085	-105.10609	1.0
31.572	-111.3244	1.0
48.11146	-122.77812	1.0
36.96004	-121.77233	0.0
38.45056	-121.48596	1.0
42.13531	-88.28909	0.0
33.79313	-118.28825	1.0
43.33378	-70.54143	1.0
40.40539	-80.27933	1.0
43.15048	-89.38498	1.0
37.23732	-76.71292	1.0
32.13614	-111.17431	1.0
49.02008	-122.80427	1.0
44.62243	-63.56766	1.0
15.79709	-92.80309	1.0
34.74969	-85.13032	1.0
49.32043	-124.2683	1.0
41.52034	-86.6075	1.0
38.55179	-121.6208	1.0
47.19108	-52.842	0.0
40.47692	-74.01073	1.0
44.95628	-123.25715	1.0
34.03408	-84.08357	1.0
52.06012	-114.68371	1.0
43.76161	-70.01385	0.0
41.89637	-77.14091	0.0
		1.0
30.7063	-104.1054	1.0
37.36265	-122.2299	1.0
41.97155	-87.66475	1.0
28.64646	-80.67364	0.0
35.21048	-78.97381	1.0
26.46439	-81.96685	1.0
40.7065	-111.92244	1.0
		1.0
30.619	-98.07289	1.0
51.73432	-106.47138	1.0
44.64539	-69.58281	1.0
49.12964	-123.7366	1.0
42.09504	-83.446	1.0
46.769	-84.953	1.0
32.68582	-117.24499	1.0
38.95337	-123.73262	1.0
48.10592	-99.13837	0.0
