lat	lon	hit
51.496	-0.176382	0.0
46.7671	23.5674	0.0
46.6233	-123.948	0.0
45.411	11.8985	0.0
37.2975	-7.55391	0.0
42.2583	-70.8718	0.0
36.0359	-79.0453	0.0
44.3354	-69.177	0.0
41.2349	-95.9159	0.0
46.6264	-123.948	0.0
49.0176	-122.794	0.0
34.4293	-104.212	1.0
42.3177	-84.0833	0.0
38.5265	-122.745	1.0
-0.757991	-90.3392	1.0
55.9174	-3.28339	0.0
52.612	-1.11265	0.0
38.5491	-122.525	1.0
36.2098	-81.6715	0.0
51.2927	-0.389671	1.0
49.7322	-112.628	0.0
38.0312	-122.512	0.0
38.5705	-90.4197	0.0
33.7108	-118.285	0.0
38.3603	-122.514	0.0
-41.2796	174.906	1.0
38.0262	-122.516	0.0
24.0759	-99.9426	0.0
51.3129	-0.47313	0.0
10.4338	-84.0093	1.0
52.283	-0.538687	1.0
42.9851	-87.8666	0.0
19.9111	99.0447	1.0
59.3679	16.5161	0.0
41.9133	0.960359	0.0
26.2446	-81.7463	1.0
42.5635	-6.58407	1.0
44.6882	-92.9579	1.0
45.84	7.61988	0.0
-38.382	142.24	1.0
35.5427	139.524	1.0
40.4987	-78.4851	1.0
37.4688	-122.278	0.0
38.3043	-123.063	0.0
-6.9703	-42.6689	0.0
33.8274	-106.274	0.0
37.8998	-121.937	1.0
28.1285	-82.7367	1.0
42.4671	-71.4086	0.0
16.0965	-88.835	0.0
37.5035	-121.893	0.0
43.5826	-79.6886	1.0
30.6479	-98.0674	0.0
41.9113	-75.8654	0.0
-0.918349	-91.0162	1.0
8.68726	-83.1984	0.0
-35.2668	150.032	0.0
31.7243	-110.876	1.0
47.1029	8.93622	1.0
34.2144	-77.799	0.0
28.3478	-96.6191	0.0
42.0963	-87.884	0.0
33.7702	-106.903	0.0
45.9262	11.5446	0.0
59.6845	-151.478	0.0
38.4694	-122.702	0.0
45.5591	-122.163	0.0
40.7805	-73.9738	0.0
-37.0275	175.107	0.0
42.9799	-87.8699	1.0
39.4665	-0.422952	1.0
34.2992	-95.9895	0.0
16.0965	-88.835	0.0
53.3391	-0.966025	1.0
36.9832	-122.06	1.0
38.9186	-92.1266	0.0
40.6193	18.0199	0.0
34.4342	-103.799	0.0
32.6881	-117.006	1.0
36.8363	-111.505	0.0
43.6297	-88.7041	1.0
49.8486	4.47332	0.0
32.2624	-111.031	1.0
51.2635	1.38391	0.0
37.8574	-122.509	1.0
46.4672	1.59941	1.0
34.2641	-77.8581	1.0
51.8516	-4.06425	0.0
32.3257	-106.786	0.0
-33.9993	151.061	1.0
41.1794	-95.9184	0.0
-33.5982	151.267	1.0
34.4342	-103.799	0.0
-2.57448	-42.6996	0.0
51.8721	0.188398	1.0
38.9966	-77.2485	0.0
39.787	-76.9319	1.0
34.0485	-120.317	1.0
41.5515	-83.8514	1.0
40.8487	-74.2059	0.0
