url	category	GPT_response
Hosted-Datasets/fmow/fmow-rgb/val/single-unit_residential/single-unit_residential_275/single-unit_residential_275_11_rgb.jpg	single-unit_residential	This is a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_340/crop_field_340_5_rgb.jpg	crop_field	Rural area.
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_126/amusement_park_126_4_rgb.jpg	amusement_park	This image shows a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_85/toll_booth_85_3_rgb.jpg	toll_booth	This image shows a highway interchange.
Hosted-Datasets/fmow/fmow-rgb/val/ground_transportation_station/ground_transportation_station_54/ground_transportation_station_54_6_rgb.jpg	ground_transportation_station	This is a train station.
Hosted-Datasets/fmow/fmow-rgb/val/gas_station/gas_station_61/gas_station_61_3_rgb.jpg	gas_station	This is an aerial view of a highway.
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_75/flooded_road_75_3_rgb.jpg	flooded_road	This is an aerial image of what appears to be a rural area potentially including a small body of water, a road, and vegetation.
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_875/crop_field_875_1_rgb.jpg	crop_field	This image shows an agricultural area with fields.
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_32/toll_booth_32_0_rgb.jpg	toll_booth	The image shows a highway or freeway with an overpass and an on-ramp or off-ramp.
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_222/crop_field_222_3_rgb.jpg	crop_field	This is an agricultural area, specifically a farm or farmland.
Hosted-Datasets/fmow/fmow-rgb/val/stadium/stadium_27/stadium_27_5_rgb.jpg	stadium	This is a stadium.
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_74/toll_booth_74_1_rgb.jpg	toll_booth	This is an aerial view of an urban area with roadways.
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_214/recreational_facility_214_3_rgb.jpg	recreational_facility	This appears to be a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/construction_site/construction_site_37/construction_site_37_8_rgb.jpg	construction_site	The image shows a high-security facility.
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_723/recreational_facility_723_0_rgb.jpg	recreational_facility	This is an aerial or satellite image of a deforested area.
Hosted-Datasets/fmow/fmow-rgb/val/parking_lot_or_garage/parking_lot_or_garage_308/parking_lot_or_garage_308_1_rgb.jpg	parking_lot_or_garage	This image shows an industrial area adjacent to a golf course.
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_47/amusement_park_47_0_rgb.jpg	amusement_park	This is an image of an urban area.
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_30/amusement_park_30_0_rgb.jpg	amusement_park	Golf course.
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_1075/crop_field_1075_1_rgb.jpg	crop_field	The image appears to be an aerial or satellite view of a deforested area.
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_12/flooded_road_12_0_rgb.jpg	flooded_road	The image appears to be an aerial view of a golf course.
Hosted-Datasets/fmow/fmow-rgb/val/fountain/fountain_60/fountain_60_2_rgb.jpg	fountain	The image shows a public park or plaza.
Hosted-Datasets/fmow/fmow-rgb/val/prison/prison_85/prison_85_3_rgb.jpg	prison	The image shows a residential area or neighborhood.
Hosted-Datasets/fmow/fmow-rgb/val/road_bridge/road_bridge_50/road_bridge_50_4_rgb.jpg	road_bridge	Railway station.
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_162/amusement_park_162_1_rgb.jpg	amusement_park	It's an amusement park.
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_356/recreational_facility_356_3_rgb.jpg	recreational_facility	The image shows a sports complex.
Hosted-Datasets/fmow/fmow-rgb/val/electric_substation/electric_substation_98/electric_substation_98_0_rgb.jpg	electric_substation	This is an aerial image of a golf course.
Hosted-Datasets/fmow/fmow-rgb/val/swimming_pool/swimming_pool_14/swimming_pool_14_3_rgb.jpg	swimming_pool	This is a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/single-unit_residential/single-unit_residential_68/single-unit_residential_68_3_rgb.jpg	single-unit_residential	The image shows a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/surface_mine/surface_mine_14/surface_mine_14_4_rgb.jpg	surface_mine	This appears to be an aerial view of a large construction site or a quarry.
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_211/recreational_facility_211_1_rgb.jpg	recreational_facility	The image shows a sports complex, with a football field and track, baseball fields, and tennis courts.
Hosted-Datasets/fmow/fmow-rgb/val/parking_lot_or_garage/parking_lot_or_garage_25/parking_lot_or_garage_25_4_rgb.jpg	parking_lot_or_garage	That is a satellite image of a school campus.
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_30/flooded_road_30_8_rgb.jpg	flooded_road	This is an aerial view of a park.
Hosted-Datasets/fmow/fmow-rgb/val/place_of_worship/place_of_worship_223/place_of_worship_223_3_rgb.jpg	place_of_worship	This image shows a residential area.
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_691/recreational_facility_691_2_rgb.jpg	recreational_facility	This is a construction site.
Hosted-Datasets/fmow/fmow-rgb/val/ground_transportation_station/ground_transportation_station_77/ground_transportation_station_77_7_rgb.jpg	ground_transportation_station	Urban area
Hosted-Datasets/fmow/fmow-rgb/val/airport_hangar/airport_hangar_162/airport_hangar_162_0_rgb.jpg	airport_hangar	This image shows an oil refinery.
Hosted-Datasets/fmow/fmow-rgb/val/tower/tower_99/tower_99_1_rgb.jpg	tower	It is an aerial view of a wind turbine.
