url	category	GPT_response
Hosted-Datasets/fmow/fmow-rgb/val/single-unit_residential/single-unit_residential_275/single-unit_residential_275_11_rgb.jpg	single-unit_residential	(15) educational_institution
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_340/crop_field_340_5_rgb.jpg	crop_field	(48) single-unit residential
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_126/amusement_park_126_4_rgb.jpg	amusement_park	(31) multi-unit_residential
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_85/toll_booth_85_3_rgb.jpg	toll_booth	(27) interchange
Hosted-Datasets/fmow/fmow-rgb/val/ground_transportation_station/ground_transportation_station_54/ground_transportation_station_54_6_rgb.jpg	ground_transportation_station	(23) ground_transportation_station
Hosted-Datasets/fmow/fmow-rgb/val/gas_station/gas_station_61/gas_station_61_3_rgb.jpg	gas_station	(27) interchange
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_75/flooded_road_75_3_rgb.jpg	flooded_road	(14) debris_or_rubble
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_875/crop_field_875_1_rgb.jpg	crop_field	(12) crop_field
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_32/toll_booth_32_0_rgb.jpg	toll_booth	(23) ground_transportation_station
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_222/crop_field_222_3_rgb.jpg	crop_field	(12) crop_field
Hosted-Datasets/fmow/fmow-rgb/val/stadium/stadium_27/stadium_27_5_rgb.jpg	stadium	(52) STADIUM
Hosted-Datasets/fmow/fmow-rgb/val/toll_booth/toll_booth_74/toll_booth_74_1_rgb.jpg	toll_booth	(27) interchange
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_214/recreational_facility_214_3_rgb.jpg	recreational_facility	(31) multi-unit_residential
Hosted-Datasets/fmow/fmow-rgb/val/construction_site/construction_site_37/construction_site_37_8_rgb.jpg	construction_site	(3) airport_terminal
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_723/recreational_facility_723_0_rgb.jpg	recreational_facility	(12) crop_field
Hosted-Datasets/fmow/fmow-rgb/val/parking_lot_or_garage/parking_lot_or_garage_308/parking_lot_or_garage_308_1_rgb.jpg	parking_lot_or_garage	(22) golf_course
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_47/amusement_park_47_0_rgb.jpg	amusement_park	(33) office_building
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_30/amusement_park_30_0_rgb.jpg	amusement_park	(28) lake_or_pond
Hosted-Datasets/fmow/fmow-rgb/val/crop_field/crop_field_1075/crop_field_1075_1_rgb.jpg	crop_field	(54) surface_mine
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_12/flooded_road_12_0_rgb.jpg	flooded_road	(12) crop_field
Hosted-Datasets/fmow/fmow-rgb/val/fountain/fountain_60/fountain_60_2_rgb.jpg	fountain	(15) educational_institution
Hosted-Datasets/fmow/fmow-rgb/val/prison/prison_85/prison_85_3_rgb.jpg	prison	(31) multi-unit_residential
Hosted-Datasets/fmow/fmow-rgb/val/road_bridge/road_bridge_50/road_bridge_50_4_rgb.jpg	road_bridge	(23) ground_transportation_station
Hosted-Datasets/fmow/fmow-rgb/val/amusement_park/amusement_park_162/amusement_park_162_1_rgb.jpg	amusement_park	(4) amusement_park
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_356/recreational_facility_356_3_rgb.jpg	recreational_facility	(43) recreational_facility
Hosted-Datasets/fmow/fmow-rgb/val/electric_substation/electric_substation_98/electric_substation_98_0_rgb.jpg	electric_substation	(7) barn
Hosted-Datasets/fmow/fmow-rgb/val/swimming_pool/swimming_pool_14/swimming_pool_14_3_rgb.jpg	swimming_pool	(31) multi-unit_residential
Hosted-Datasets/fmow/fmow-rgb/val/single-unit_residential/single-unit_residential_68/single-unit_residential_68_3_rgb.jpg	single-unit_residential	(48) single-unit_residential
Hosted-Datasets/fmow/fmow-rgb/val/surface_mine/surface_mine_14/surface_mine_14_4_rgb.jpg	surface_mine	(26) impoverished_settlement
Hosted-Datasets/fmow/fmow-rgb/val/recreational_facility/recreational_facility_211/recreational_facility_211_1_rgb.jpg	recreational_facility	(52) stadium
Hosted-Datasets/fmow/fmow-rgb/val/parking_lot_or_garage/parking_lot_or_garage_25/parking_lot_or_garage_25_4_rgb.jpg	parking_lot_or_garage	(15) educational_institution
Hosted-Datasets/fmow/fmow-rgb/val/flooded_road/flooded_road_30/flooded_road_30_8_rgb.jpg	flooded_road	(35) park
Hosted-Datasets/fmow/fmow-rgb/val/place_of_worship/place_of_worship_223/place_of_worship_223_3_rgb.jpg	place_of_worship	(48) single-unit_residential
